event_wall_ms,event_wall_ts,period,clock,description,event_type,scorer_side,scorer_label,scorer_team_id,expected_team_id,team_id_matches_side,points,pre_home_points,pre_away_points,post_home_points,post_away_points,pre_diff_for_scorer
1780712565000.0,2026-06-06 02:22:45+00:00,3,8:33,Mikal Bridges makes three point stepback jump shot (Landry Shamet assists),threepointmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,3,57,64,57,67,-7
1780712658000.0,2026-06-06 02:24:18+00:00,3,7:30,Victor Wembanyama makes two point dunk (Stephon Castle assists),twopointmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,2,57,67,59,67,10
1780712682000.0,2026-06-06 02:24:42+00:00,3,7:07,Landry Shamet makes three point jump shot (Jalen Brunson assists),threepointmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,3,59,67,59,70,-8
1780712712000.0,2026-06-06 02:25:12+00:00,3,6:48,Victor Wembanyama makes two point tip layup,twopointmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,2,59,70,61,70,11
1780712745000.0,2026-06-06 02:25:45+00:00,3,6:29,Karl-Anthony Towns makes two point driving layup,twopointmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,2,61,70,61,72,-9
1780712804000.0,2026-06-06 02:26:44+00:00,3,6:17,Victor Wembanyama makes regular free throw 1 of 2,freethrowmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,1,61,72,62,72,11
1780712899000.0,2026-06-06 02:28:19+00:00,3,5:45,Keldon Johnson makes two point putback layup,twopointmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,2,62,72,64,72,10
1780712934000.0,2026-06-06 02:28:54+00:00,3,5:10,Stephon Castle makes three point jump shot (Keldon Johnson assists),threepointmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,3,64,72,67,72,8
1780712971000.0,2026-06-06 02:29:31+00:00,3,4:33,Mikal Bridges makes two point running jump shot (Jalen Brunson assists),twopointmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,2,67,72,67,74,-5
1780713019000.0,2026-06-06 02:30:19+00:00,3,3:45,Victor Wembanyama makes three point pullup jump shot,threepointmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,3,67,74,70,74,7
